"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 16, 2019","942.81","941.49","943.40","938.76","55.82K","0.13%"
"Dec 13, 2019","941.60","944.74","947.50","939.34","42.10K","-0.33%"
"Dec 12, 2019","944.73","938.24","944.73","936.00","43.22K","0.69%"
"Dec 11, 2019","938.24","939.59","941.16","934.20","40.54K","-0.19%"
"Dec 10, 2019","940.02","945.34","946.57","935.86","43.14K","-0.57%"
"Dec 09, 2019","945.38","945.11","947.84","941.33","42.59K","0.03%"
"Dec 06, 2019","945.06","943.44","945.32","941.63","29.88K","0.17%"
"Dec 05, 2019","943.48","945.32","948.32","941.01","44.03K","-0.18%"
"Dec 04, 2019","945.22","939.29","945.22","936.39","37.32K","0.63%"
"Dec 03, 2019","939.28","942.17","942.86","935.45","46.22K","-0.28%"
"Dec 02, 2019","941.91","951.23","954.22","938.96","48.85K","-0.89%"
"Nov 29, 2019","950.38","947.39","950.74","944.92","35.39K","0.32%"
"Nov 28, 2019","947.36","952.21","953.89","944.60","39.95K","-0.50%"
"Nov 27, 2019","952.10","949.88","952.10","948.49","46.20K","0.23%"
"Nov 26, 2019","949.88","948.68","956.40","945.74","44.62K","0.13%"
"Nov 25, 2019","948.68","954.74","956.43","946.99","50.23K","-0.65%"
"Nov 22, 2019","954.84","966.92","968.37","952.07","68.61K","-1.25%"
"Nov 21, 2019","966.92","969.82","970.64","964.51","47.40K","-0.30%"
"Nov 20, 2019","969.82","966.82","969.82","966.82","62.02K","0.31%"
"Nov 19, 2019","966.82","962.76","966.82","961.41","38.00K","0.42%"
"Nov 18, 2019","962.76","966.85","969.62","960.53","48.91K","-0.36%"
"Nov 15, 2019","966.22","969.00","971.17","966.22","52.43K","-0.29%"
"Nov 14, 2019","969.07","970.09","972.04","965.58","48.93K","-0.11%"
"Nov 13, 2019","970.09","972.40","975.31","968.61","48.15K","-0.22%"
"Nov 12, 2019","972.22","971.20","974.49","970.39","53.41K","0.12%"
"Nov 11, 2019","971.07","974.31","975.52","969.69","44.81K","-0.33%"
"Nov 08, 2019","974.28","975.09","977.82","973.74","46.83K","-0.08%"
"Nov 07, 2019","975.09","976.19","978.13","973.90","50.79K","-0.12%"
"Nov 06, 2019","976.31","974.29","977.92","972.11","64.07K","0.21%"
"Nov 05, 2019","974.29","971.03","974.29","971.03","57.28K","0.34%"
"Nov 04, 2019","971.03","969.93","972.78","969.02","65.01K","0.12%"
"Nov 01, 2019","969.88","968.49","969.88","965.05","67.07K","0.14%"
"Oct 31, 2019","968.48","978.12","978.14","967.48","63.38K","-0.99%"
"Oct 30, 2019","978.12","972.83","978.12","972.31","56.83K","0.53%"
"Oct 29, 2019","972.95","976.70","978.57","970.85","70.92K","-0.38%"
"Oct 28, 2019","976.69","974.63","979.94","974.49","48.04K","0.20%"
"Oct 25, 2019","974.75","977.43","978.62","973.40","40.68K","-0.27%"
"Oct 24, 2019","977.43","970.78","977.43","970.78","45.77K","0.68%"
"Oct 23, 2019","970.82","973.54","974.73","969.88","56.97K","-0.28%"
"Oct 22, 2019","973.54","975.94","976.82","971.37","88.02K","-0.24%"
"Oct 21, 2019","975.84","980.76","981.93","973.92","51.50K","-0.38%"
"Oct 18, 2019","979.60","981.10","984.73","978.10","53.17K","-0.15%"
"Oct 17, 2019","981.06","978.77","981.06","976.55","59.63K","0.23%"
"Oct 16, 2019","978.78","980.84","984.19","978.21","66.38K","-0.21%"
"Oct 15, 2019","980.84","979.85","980.98","977.75","40.12K","0.10%"
"Oct 14, 2019","979.85","978.88","984.22","977.69","44.66K","0.11%"
"Oct 11, 2019","978.82","977.99","981.71","975.53","41.19K","0.09%"
"Oct 10, 2019","977.96","977.75","980.16","976.12","44.72K","0.02%"
"Oct 09, 2019","977.75","977.71","979.02","975.41","37.39K","0.01%"
"Oct 08, 2019","977.67","976.33","977.78","972.11","43.54K","0.16%"
"Oct 07, 2019","976.07","982.50","984.50","974.92","54.22K","-0.63%"
"Oct 04, 2019","982.29","985.27","989.14","981.11","50.25K","-0.30%"
"Oct 03, 2019","985.27","983.79","985.27","976.58","44.97K","0.14%"
"Oct 02, 2019","983.87","987.03","989.19","982.38","49.69K","-0.32%"
"Oct 01, 2019","987.03","983.26","987.03","981.72","49.06K","0.39%"
"Sep 30, 2019","983.22","981.93","987.63","981.93","56.34K","0.09%"
"Sep 27, 2019","982.33","980.81","984.00","980.29","48.77K","0.15%"
"Sep 26, 2019","980.81","975.62","981.26","975.62","41.88K","0.53%"
"Sep 25, 2019","975.63","974.24","977.01","971.99","39.21K","0.13%"
"Sep 24, 2019","974.35","970.50","974.35","968.92","39.65K","0.40%"
"Sep 23, 2019","970.50","975.45","979.22","968.92","41.43K","-0.51%"
"Sep 20, 2019","975.45","980.77","982.68","975.45","57.94K","-0.55%"
"Sep 19, 2019","980.87","979.68","981.07","976.92","44.38K","0.09%"
"Sep 18, 2019","979.95","980.51","983.52","978.37","44.61K","-0.06%"
"Sep 17, 2019","980.54","975.23","980.74","971.94","50.89K","0.54%"
"Sep 16, 2019","975.23","970.00","975.23","969.63","46.57K","0.54%"
