"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 17, 2017","923.34","926.40","927.24","921.63","30.52K","-0.07%"
"Oct 16, 2017","923.96","921.28","927.46","921.28","31.86K","0.27%"
"Oct 13, 2017","921.46","923.52","925.63","919.99","27.62K","-0.16%"
"Oct 12, 2017","922.97","921.60","925.85","921.60","25.07K","0.53%"
"Oct 11, 2017","918.11","918.23","921.15","918.00","32.47K","0.22%"
"Oct 10, 2017","916.08","916.24","918.93","912.95","28.75K","0.11%"
"Oct 09, 2017","915.08","915.43","918.45","909.89","26.60K","0.12%"
"Oct 06, 2017","914.00","910.90","914.73","910.90","21.52K","0.30%"
"Oct 05, 2017","911.29","913.96","916.98","910.37","21.14K","0.03%"
"Oct 04, 2017","910.98","899.28","910.98","899.28","20.27K","1.20%"
"Oct 03, 2017","900.15","903.24","905.27","892.67","30.04K","-0.44%"
"Oct 02, 2017","904.13","912.43","916.41","904.13","20.79K","-1.05%"
"Sep 29, 2017","913.72","916.83","919.82","911.25","24.66K","-0.65%"
"Sep 28, 2017","919.72","925.51","929.56","918.22","29.64K","-0.61%"
"Sep 27, 2017","925.40","930.31","931.61","925.40","22.10K","-0.47%"
"Sep 26, 2017","929.79","931.75","933.11","925.41","32.31K","-0.34%"
"Sep 25, 2017","932.92","934.43","936.86","931.52","23.81K","-0.20%"
"Sep 22, 2017","934.81","930.17","934.81","930.17","28.11K","0.54%"
"Sep 21, 2017","929.82","933.19","934.85","928.26","26.62K","-0.03%"
"Sep 20, 2017","930.07","930.19","932.73","926.52","27.13K","0.04%"
"Sep 19, 2017","929.73","931.63","934.14","929.08","31.93K","0.06%"
"Sep 18, 2017","929.15","922.24","930.22","922.24","32.54K","0.73%"
"Sep 15, 2017","922.41","914.85","922.41","913.11","23.34K","0.87%"
"Sep 14, 2017","914.41","914.33","916.36","912.24","23.17K","0.46%"
"Sep 13, 2017","910.20","907.02","910.20","905.92","26.32K","0.84%"
"Sep 12, 2017","902.65","896.68","903.20","896.68","21.41K","0.72%"
"Sep 11, 2017","896.19","902.50","904.11","896.19","23.79K","-0.76%"
"Sep 08, 2017","903.06","904.10","907.78","902.55","19.40K","0.02%"
"Sep 07, 2017","902.87","901.32","906.03","901.32","28.75K","-0.05%"
"Sep 06, 2017","903.29","903.83","904.97","900.28","28.17K","-0.21%"
"Sep 05, 2017","905.18","907.89","910.41","905.18","23.39K","-0.44%"
"Sep 01, 2017","909.22","904.07","909.28","903.29","24.52K","0.66%"
"Aug 31, 2017","903.23","906.33","910.35","901.89","33.57K","-0.15%"
"Aug 30, 2017","904.59","902.80","905.86","902.80","33.49K","-0.03%"
"Aug 29, 2017","904.84","910.90","910.90","904.01","29.15K","-0.74%"
"Aug 28, 2017","911.63","916.24","917.77","910.91","36.90K","0.01%"
"Aug 25, 2017","911.53","905.70","912.46","901.56","46.00K","0.47%"
"Aug 24, 2017","907.25","909.14","911.18","905.55","32.42K","-0.12%"
"Aug 23, 2017","908.38","908.78","912.19","905.96","35.11K","-0.55%"
"Aug 22, 2017","913.36","922.45","925.22","910.64","33.84K","-1.21%"
"Aug 21, 2017","924.56","929.40","934.02","923.13","37.53K","-0.49%"
"Aug 18, 2017","929.10","915.63","929.63","912.91","54.45K","0.54%"
"Aug 17, 2017","924.12","935.89","935.89","924.12","31.50K","-1.26%"
"Aug 16, 2017","935.92","937.03","938.85","930.93","31.57K","-0.18%"
"Aug 15, 2017","937.63","941.55","944.80","935.52","38.53K","-0.32%"
"Aug 14, 2017","940.62","930.01","941.11","930.01","41.00K","0.46%"
"Aug 11, 2017","936.35","941.79","941.79","935.09","33.13K","-1.13%"
"Aug 10, 2017","947.09","946.16","952.20","943.88","42.04K","-0.92%"
"Aug 09, 2017","955.90","976.98","979.57","950.73","77.74K","-1.40%"
"Aug 08, 2017","969.51","974.37","977.01","967.55","43.97K","0.54%"
"Aug 07, 2017","964.35","959.68","965.75","956.13","53.30K","1.58%"
"Aug 04, 2017","949.39","940.15","952.98","940.15","41.55K","1.03%"
"Aug 03, 2017","939.75","932.63","943.34","932.63","36.25K","1.00%"
"Aug 02, 2017","930.44","932.59","933.03","927.18","35.25K","0.09%"
"Aug 01, 2017","929.56","929.71","934.55","929.00","35.57K","0.24%"
"Jul 31, 2017","927.33","929.61","932.36","924.51","34.41K","0.21%"
"Jul 28, 2017","925.43","921.31","926.12","921.12","40.84K","0.47%"
"Jul 27, 2017","921.11","924.99","925.21","919.36","41.60K","-0.08%"
"Jul 26, 2017","921.81","911.87","921.81","911.87","43.48K","1.43%"
"Jul 25, 2017","908.82","903.45","909.96","901.96","40.83K","0.54%"
"Jul 24, 2017","903.98","906.53","909.22","902.66","34.60K","-0.55%"
"Jul 21, 2017","909.01","915.05","919.29","909.01","32.84K","-0.30%"
"Jul 20, 2017","911.74","912.20","912.20","906.17","31.10K","0.14%"
"Jul 19, 2017","910.50","908.96","912.06","908.05","33.57K","0.33%"
"Jul 18, 2017","907.52","907.87","910.62","903.45","36.62K","-0.56%"
"Jul 17, 2017","912.64","922.32","923.95","907.22","44.65K","-0.71%"
"Jul 14, 2017","919.17","922.37","925.82","919.17","36.03K","-0.01%"
"Jul 13, 2017","919.30","920.84","921.66","915.16","48.54K","0.36%"
"Jul 12, 2017","915.97","913.05","916.73","910.41","36.17K","0.93%"
"Jul 11, 2017","907.51","902.57","909.06","901.46","36.34K","0.54%"
"Jul 10, 2017","902.64","908.62","910.93","898.87","37.39K","-0.58%"
"Jul 07, 2017","907.94","916.73","919.01","907.94","50.39K","-0.64%"
"Jul 06, 2017","913.82","909.78","913.82","909.78","53.15K","0.69%"
"Jul 05, 2017","907.56","902.09","908.20","901.10","38.14K","0.71%"
"Jul 04, 2017","901.16","898.88","901.16","896.54","38.84K","0.27%"
"Jul 03, 2017","898.76","896.68","900.46","896.68","34.06K","0.22%"
"Jun 30, 2017","896.77","899.35","901.67","895.51","31.43K","-0.06%"
"Jun 29, 2017","897.29","894.20","897.35","894.11","36.12K","0.60%"
"Jun 28, 2017","891.96","886.58","891.96","886.20","31.00K","0.39%"
"Jun 27, 2017","888.49","894.57","895.53","885.61","35.69K","-0.54%"
"Jun 26, 2017","893.34","896.27","897.24","892.90","33.30K","-0.16%"
